operator_id,wait_avg_op,wait_avg_internal,conv_missed_ratio,conv_missed_ratio_internas,conv_out_total,op_type,calls_count_total,outbound_calls_avg,flag_low_outbound_conv_total,flag_low_outbound_calls_avg,flag_low_outbound_calls_total,flag_wait_avg_op,flag_wait_avg_internal,flag_conv_missed_ratio,flag_conv_missed_ratio_internas,num_flags,is_inefficient,grupo
902510,157.96153846153845,,0.07692307692307693,,86.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
902532,119.70588235294117,,0.029411764705882353,,66.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
902608,31.66666666666667,21.0,,,13.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
902720,48.65625,6.0,,,71.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
902742,,,,,56.0,outbound,840.0,16.470588235294116,False,False,False,,,False,False,0,False,Eficientes
902744,,,,,44.0,outbound,365.0,17.38095238095238,False,False,False,,,False,False,0,False,Eficientes
902746,,,,,36.0,outbound,245.0,15.3125,False,False,False,,,False,False,0,False,Eficientes
902748,,,,,25.0,outbound,149.0,18.625,False,False,False,,,False,False,0,False,Eficientes
902774,,,,,37.0,outbound,548.0,16.606060606060606,False,False,False,,,False,False,0,False,Eficientes
902776,,,,,15.0,outbound,128.0,16.0,False,False,False,,,False,False,0,False,Eficientes
902778,,,,,23.0,outbound,124.0,5.636363636363637,False,False,False,,,False,False,0,False,Eficientes
902782,,,,,34.0,outbound,580.0,16.571428571428573,False,False,False,,,False,False,0,False,Eficientes
902906,21.23076923076923,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
902910,36.8,,0.05,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
903254,59.91304347826087,,,,151.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
903292,73.625,,,,9.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
903312,42.86538461538461,,0.019230769230769232,,21.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
903318,45.14035087719298,,,,109.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
903390,20.285714285714285,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
903974,83.5,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
903976,21.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
903978,38.0,,,,1.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
904014,38.92307692307692,,,,50.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
904016,35.61538461538461,,0.07692307692307693,,41.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
904038,52.653846153846146,,0.02564102564102564,,88.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
904044,46.857142857142854,,,,18.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
904058,18.294117647058822,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
904200,29.25,14.5,,,5.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
904202,11.6,23.0,,,17.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
904204,40.25,,,,17.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
904284,25.103448275862068,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
904344,27.5,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
904372,34.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
905082,34.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
905104,81.12698412698413,,0.015873015873015872,,54.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
905300,34.5,,0.125,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
905308,,,,,,unknown,,,False,False,False,,,False,False,0,False,Eficientes
905430,41.625,,0.0625,,30.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905432,10.666666666666666,,,,20.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905470,,,,,,unknown,,,False,False,False,,,False,False,0,False,Eficientes
905472,21.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
905478,36.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
905480,,,,,,unknown,,,False,False,False,,,False,False,0,False,Eficientes
905538,79.51851851851852,,,,113.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
905542,43.1,,,,113.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905564,46.2,23.0,,,85.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
905566,31.08695652173913,,,,98.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905574,14.0,,,,35.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905842,115.5,,,,117.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
905844,13.583333333333334,,,,110.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905862,31.486486486486484,,0.08108108108108109,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
905870,54.54838709677419,,,,43.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905930,13.333333333333334,,,,66.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905932,11.52,,,,73.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
905934,9.0,,,,11.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906070,145.9090909090909,,0.06666666666666667,,22.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
906076,91.0,,,,1.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
906294,29.1,,0.02,,52.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906296,32.5,,,,18.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906392,35.57142857142857,,,,3.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
906394,45.1578947368421,,,,38.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906396,111.08823529411765,,,,39.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
906398,56.67857142857143,,,,4.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
906400,93.8,,,,46.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
906402,54.0,,,,4.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906404,298.7857142857143,,0.06976744186046512,,65.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
906408,246.85714285714286,,0.07142857142857142,,6.0,inbound,,,False,False,False,True,,False,False,1,False,Eficientes
906410,177.5,,0.029411764705882353,,11.0,inbound,,,False,False,False,True,,False,False,1,False,Eficientes
906412,26.666666666666668,,,,30.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906416,16.6,,,,7.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
906418,20.0,,,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
906420,11.0,,,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
906866,,,,,20.0,outbound,169.0,14.083333333333334,False,False,False,,,False,False,0,False,Eficientes
907174,69.625,,,,93.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
907178,36.0,,,,32.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
907180,,,,,10.0,outbound,37.0,3.7,False,False,False,,,False,False,0,False,Eficientes
907182,21.303030303030305,11.0,,,8.0,inbound,,,False,False,False,False,False,False,False,0,False,Eficientes
907224,52.27272727272727,,,,80.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
907440,23.833333333333332,,,,18.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
907442,,,,,14.0,outbound,44.0,3.142857142857143,False,False,False,,,False,False,0,False,Eficientes
907502,80.91666666666667,,0.03333333333333333,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
907504,27.25,,,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
907618,35.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
907952,29.083333333333332,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
907964,22.833333333333332,,,,2.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
907970,20.214285714285715,,,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
907972,14.25,,,,4.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
907974,9.666666666666666,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
907982,40.8,,0.02857142857142857,,5.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
907986,20.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
907994,26.740740740740744,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
908002,24.75,,,,10.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
908078,23.93103448275862,,,,17.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
